DN_mean	            mean	            distribution,location,raw,locationDependent
DN_hmean	        harmonic_mean	    distribution,location,raw,locationDependent
DN_median			median	            distribution,location,raw,locationDependent
DN_TrimmedMean_1	trimmed_mean_1	    distribution,location,raw,locationDependent
DN_TrimmedMean_5	trimmed_mean_5	    distribution,location,raw,locationDependent
DN_TrimmedMean_10	trimmed_mean_10	    distribution,location,raw,locationDependent
DN_TrimmedMean_25	trimmed_mean_25	    distribution,location,raw,locationDependent
DN_TrimmedMean_50	trimmed_mean_50	    distribution,location,raw,locationDependent
DN_midhinge			midhinge	        distribution,location,raw,locationDependent
DN_rms	            rms	                distribution,location,raw,locationDependent,spreadDependent
DN_Spread_std	    standard_deviation	        distribution,spread,raw,spreadDependent
DN_CustomSkewness_pearson	skewness_pearson	distribution,moment,shape,raw,locationDependent
SY_StdNthDer_2	SY_StdNthDer_2	entropy
SY_StdNthDer_3	SY_StdNthDer_3	entropy
SY_StdNthDer_4	SY_StdNthDer_4	entropy
SY_StdNthDer_5	SY_StdNthDer_5	entropy
SY_StdNthDer_10	SY_StdNthDer_10	entropy
DN_FitKernelSmoothraw.entropy	DN_FitKernelSmoothraw_entropy	distribution,ksdensity,entropy,raw,spreadDependent
DK_crinkle_statistic	DK_crinkle_statistic	misc
CO_trev_1.denom	CO_trev_1_denom	correlation,nonlinear
CO_trev_2.denom	CO_trev_2_denom	correlation,nonlinear
CO_trev_3.denom	CO_trev_3_denom	correlation,nonlinear
CO_Embed2_Dist_tau.d_mean	CO_Embed2_Dist_tau_d_mean	correlation,embedding
NW_VisibilityGraph_horiz.gaussnlogL	NW_VisibilityGraph_horiz_gaussnlogL	network,visibilityGraph,lengthDependent
NW_VisibilityGraph_norm.meank	NW_VisibilityGraph_norm_meank	network,visibilityGraph
NW_VisibilityGraph_norm.expnlogL	NW_VisibilityGraph_norm_expnlogL	network,visibilityGraph,lengthDependent
NW_VisibilityGraph_norm.evparam1	NW_VisibilityGraph_norm_evparam1	network,visibilityGraph
PH_Walker_prop_09.sw_distdiff	PH_Walker_prop_09_sw_distdiff	trend
FC_LocalSimple_lfit2.meanabserr	FC_LocalSimple_lfit2_meanabserr	forecasting
FC_LocalSimple_lfit3.stderr	FC_LocalSimple_lfit3_stderr	forecasting
DN_CompareKSFit_rayleigh.peaksepx	DN_CompareKSFit_rayleigh_psx	distribution,ksdensity,raw,locationDependent,posOnly
DN_CompareKSFit_exp.peaksepx	DN_CompareKSFit_exp_psx	distribution,ksdensity,raw,locationDependent,posOnly
NL_MS_nlpe_2_mi.msqerr	NL_MS_nlpe_2_mi_msqerr	nonlinear,prediction,model
SY_VarRatioTest_2_0.stat	SY_VarRatioTest_2_0_stat	vratiotest
SY_VarRatioTest_2_1.stat	SY_VarRatioTest_2_1_stat	vratiotest
SY_VarRatioTest_4_0.stat	SY_VarRatioTest_4_0_stat	vratiotest
SY_VarRatioTest_4_1.stat	SY_VarRatioTest_4_1_stat	vratiotest
SY_VarRatioTest_24682468_00001111.meanstat	SY_VarRatioTest_24682468_00001111_meanstat	vratiotest
SY_VarRatioTest_24682468_00001111.maxstat	SY_VarRatioTest_24682468_00001111_maxstat	vratiotest
SY_VarRatioTest_24682468_00001111.minstat	SY_VarRatioTest_24682468_00001111_minstat	vratiotest
SY_PPtest_0_5_ar_t1.meanstat	SY_PPtest_0_5_ar_t1_meanstat	unitroot
SY_PPtest_0_5_ar_t1.maxstat	SY_PPtest_0_5_ar_t1_maxstat	unitroot
SY_PPtest_0_5_ar_t1.minstat	SY_PPtest_0_5_ar_t1_minstat	unitroot
MD_rawHRVmeas.SD1	    MD_rawHRVmeas_SD1	    medical,raw,spreadDependent
